Hostname,Name,Description,Serial Number,Start Date,End Date
AD2-Dist-SW,Switch 1,C9500-16X,FJC265215PG,2023-MAY-02,2026-MAY-02
AD2-Dist-SW,Switch 2,C9500-16X,FOC2631YC1R,2023-MAY-02,2026-MAY-02
AD2-SHAFT-A-2F,Switch 1,C9300L-24P-4X,FOC2630Y5H2,2022-SEP-02,2025-SEP-02
AD2-SHAFT-A-2F,Switch 2,C9300L-24P-4X,FOC2629YS15,2022-SEP-02,2025-SEP-02
AD2-SHAFT-A-2F,Switch 3,C9300L-24P-4X,FOC2630Y46L,2022-SEP-02,2025-SEP-02
AD2-SHAFT-A-2F,Switch 4,C9300L-48T-4X,FOC2650YK1X,2022-SEP-02,2025-SEP-02
AD2-SHAFT-B-2F,Switch 1,C9300L-24P-4X,FOC2644Y65E,2023-MAR-20,2026-MAR-20
AD2-SHAFT-B-2F,Switch 2,C9300L-24P-4X,FOC2630Y3AA,2023-MAR-20,2026-MAR-20
AD2-SHAFT-B-2F,Switch 3,C9300L-48T-4X,FOC2650YM1Y,2023-MAR-20,2026-MAR-20
AD2-SHAFT-B-2F,Switch 4,C9300L-48T-4X,FOC2650YNEQ,2023-MAR-20,2026-MAR-20
AD2-SHAFT-B-2F,Switch 5,C9300L-48T-4X,FOC2715Y3PM,2023-MAR-20,2026-MAR-20
AD2-SHAFT-B-2F,Switch 6,C9300L-48T-4X,FOC2650YLZS,2023-MAR-20,2026-MAR-20
AD2-SHAFT-C-3F-R1,Switch 1,C9300L-48T-4X,FOC2650YNWL,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 2,C9300L-48T-4X,FOC2650YK48,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 3,C9300L-48T-4X,FOC2650YK43,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 4,C9300L-48T-4X,FOC2650YN7Q,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 5,C9300L-48T-4X,FOC2650YJZT,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 6,C9300L-48T-4X,FOC2650YJ7W,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 7,C9300L-48T-4X,FOC2650YNFZ,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R1,Switch 8,C9300L-48T-4X,FOC2650YNWK,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R2,Switch 1,C9300L-48T-4X,FOC2650YNG1,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R2,Switch 2,C9300L-24P-4X,FOC2630Y2LU,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R2,Switch 3,C9300L-24P-4X,FOC2630Y3CE,2023-APR-12,2026-APR-12
AD2-SHAFT-C-3F-R2,Switch 4,C9300L-24P-4X,FOC2630Y2JH,2023-APR-12,2026-APR-12
AD3-Dist-SW,Switch 1,C9500-16X,FJC27042YAH,2023-MAY-02,2026-MAY-02
AD3-Dist-SW,Switch 2,C9500-16X,FJC265213QR,2023-MAY-02,2026-MAY-02
AD3-SHAFT-A-2F,Switch 1,C9300L-24P-4X,FOC2714Y8KZ,2023-JUN-24,2026-JUN-24
AD3-SHAFT-A-2F,Switch 2,C9300L-24P-4X,FOC2714Y8MC,2023-JUN-24,2026-JUN-24
AD3-SHAFT-A-2F,Switch 3,C9300L-24T-4X,FOC2651YDMJ,2023-JUN-24,2026-JUN-24
AD3-SHAFT-A-2F,Switch 4,C9300L-48T-4X,FOC2650YL9K,2023-JUN-24,2026-JUN-24
AD3-SHAFT-A-2F,Switch 5,C9300L-48T-4X,FOC2650YKH4,2023-JUN-24,2026-JUN-24
AD3-SHAFT-A-2F,Switch 6,C9300L-48T-4X,FOC2650YLT1,2023-JUN-24,2026-JUN-24
AD3-SHAFT-B-2F,Switch 1,C9300L-24P-4X,FOC2714Y8FY,2023-JUN-24,2026-JUN-24
AD3-SHAFT-B-2F,Switch 2,C9300L-24P-4X,FOC2714Y8LF,2023-JUN-24,2026-JUN-24
AD3-SHAFT-B-2F,Switch 3,C9300L-48T-4X,FOC2650YK3P,2023-JUN-24,2026-JUN-24
AD3-SHAFT-B-4F,Switch 1,C9300L-24P-4X,FOC2630Y23S,2022-SEP-02,2025-SEP-02
AD3-SHAFT-B-4F,Switch 2,C9300L-48T-4X,FOC2650YL0Z,2022-SEP-02,2025-SEP-02
AD3-SHAFT-B-4F,Switch 3,C9300L-48T-4X,FOC2650YJYD,2022-SEP-02,2025-SEP-02
AD3-SHAFT-C-1F,Switch 1,C9300L-24P-4X,FOC2630Y1ST,2022-SEP-02,2025-SEP-02
AD3-SHAFT-C-1F,Switch 2,C9300L-24P-4X,FOC2630Y23P,2022-SEP-02,2025-SEP-02
AD3-SHAFT-C-1F,Switch 3,C9300L-48T-4X,FOC2650YLYF,2022-SEP-02,2025-SEP-02
AD3-SHAFT-C-4F,Switch 1,C9300L-24P-4X,FOC2630Y1FK,2022-SEP-02,2025-SEP-02
AD3-SHAFT-C-4F,Switch 2,C9300L-24T-4X,FOC2651YDJA,2022-SEP-02,2025-SEP-02
Admin-LGF-Dist-SW,Switch 1,C9500-16X,FOC2638YFDX,2023-MAR-20,2026-MAR-20
Admin-LGF-Dist-SW,Switch 2,C9500-16X,FOC2638YFL0,2023-MAR-20,2026-MAR-20
Admin-Shaft_A-1F,Switch 1,C9300L-48T-4X,FOC2650YQ5V,2023-APR-12,2026-APR-12
Admin-Shaft_A-1F,Switch 2,C9300L-24P-4X,FOC2630Y4SX,2023-APR-12,2026-APR-12
Admin-Shaft_A-2F,Switch 1,C9300L-48T-4X,FOC2650YLSE,2023-APR-12,2026-APR-12
Admin-Shaft_A-2F,Switch 2,C9300L-24P-4X,FOC2626YCJ1,2023-APR-12,2026-APR-12
Admin-Shaft_A-3F,Switch 1,C9300L-48T-4X,FOC2650YQ9D,2023-APR-12,2026-APR-12
Admin-Shaft_A-3F,Switch 2,C9300L-24P-4X,FOC2630Y23Y,2023-APR-12,2026-APR-12
Admin-Shaft_A-4F,Switch 1,C9300L-24P-4X,FOC2630Y27R,2022-SEP-02,2025-SEP-02
Admin-Shaft_A-4F,Switch 2,C9300L-24T-4X,FOC2651YEFY,2022-SEP-02,2025-SEP-02
Admin-Shaft_A-5F,Switch 1,C9300L-24P-4X,FOC2630Y2EX,2022-SEP-02,2025-SEP-02
Admin-Shaft_A-5F,Switch 2,C9300L-24P-4X,FOC2644Y6A3,2022-SEP-02,2025-SEP-02
Admin-Shaft_A-GF,Switch 1,C9300L-48T-4X,FOC2650YMYM,2023-APR-12,2026-APR-12
Admin-Shaft_A-GF,Switch 2,C9300L-24P-4X,FOC2630Y2GE,2023-APR-12,2026-APR-12
Admin-Shaft_A-LGF,Switch 1,C9300L-24P-4X,FOC2630Y244,2022-SEP-02,2025-SEP-02
Admin-Shaft_B-1F,Switch 1,C9300L-24P-4X,FOC2629YTQA,2022-SEP-02,2025-SEP-02
Admin-Shaft_B-1F,Switch 2,C9300L-48T-4X,FOC2650YJVL,2022-SEP-02,2025-SEP-02
Admin-Shaft_B-2F,Switch 1,C9300L-48T-4X,FOC2650YKVQ,2023-APR-12,2026-APR-12
Admin-Shaft_B-2F,Switch 2,C9300L-24P-4X,FOC2630Y3CM,2023-APR-12,2026-APR-12
Admin-Shaft_B-3F,Switch 1,C9300L-24P-4X,FOC2630Y2KT,2022-SEP-02,2025-SEP-02
Admin-Shaft_B-3F,Switch 2,C9300L-48T-4X,FOC2650YJS7,2022-SEP-02,2025-SEP-02
Admin-Shaft_B-4F,Switch 1,C9300L-24P-4X,FOC2629YQ90,2022-SEP-02,2025-SEP-02
Admin-Shaft_B-5F,Switch 1,C9300L-24P-4X,FOC2630Y1BM,2022-SEP-02,2025-SEP-02
Admin-Shaft_B-5F,Switch 2,C9300L-24T-4X,FOC2651YGF1,2022-SEP-02,2025-SEP-02
Admin-Shaft_B-GF,Switch 1,C9300L-24P-4X,FOC2630Y38Z,2022-SEP-02,2025-SEP-02
Admin-Shaft_B-GF,Switch 2,C9300L-48T-4X,FOC2650YJJ6,2022-SEP-02,2025-SEP-02
BHJ-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YM6J,2023-APR-12,2026-APR-12
BHJ-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YNCA,2023-APR-12,2026-APR-12
BHJ-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YK56,2023-APR-12,2026-APR-12
BHJ-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YDQH,2023-JAN-26,2026-JAN-26
BHJ-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YM2C,2023-APR-12,2026-APR-12
BHJ-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YK2A,2023-APR-12,2026-APR-12
BHJ-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YLZY,2023-APR-12,2026-APR-12
BHJ-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YDPN,2023-JAN-26,2026-JAN-26
BHK-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YENG,2022-AUG-26,2025-AUG-26
BHK-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YHMX,2022-AUG-26,2025-AUG-26
BHK-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YEKG,2022-AUG-26,2025-AUG-26
BHK-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YE9G,2023-JAN-26,2026-JAN-26
BHK-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YEEF,2022-AUG-26,2025-AUG-26
BHK-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YEMH,2022-AUG-26,2025-AUG-26
BHK-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YES8,2022-AUG-26,2025-AUG-26
BHK-B-GF-SW,Switch 1,C9300L-24P-4X,FOC2630Y4UR,2022-SEP-02,2025-SEP-02
BHK-B-GF-SW,Switch 2,C9300L-24P-4X - Provisioned,,2022-SEP-02,2025-SEP-02
BHL-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YK4R,2023-APR-12,2026-APR-12
BHL-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YLXE,2023-APR-12,2026-APR-12
BHL-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YJNW,2023-APR-12,2026-APR-12
BHL-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YDGB,2023-JAN-26,2026-JAN-26
BHL-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJTC,2023-APR-12,2026-APR-12
BHL-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YN8E,2023-APR-12,2026-APR-12
BHL-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YJR8,2023-APR-12,2026-APR-12
BHL-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YEBW,2023-JAN-26,2026-JAN-26
BHM-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YNWU,2023-APR-12,2026-APR-12
BHM-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YK6N,2023-APR-12,2026-APR-12
BHM-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YM8B,2023-APR-12,2026-APR-12
BHM-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YDE4,2023-JAN-26,2026-JAN-26
BHM-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJLH,2023-APR-12,2026-APR-12
BHM-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YL2B,2023-APR-12,2026-APR-12
BHM-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YL1P,2023-APR-12,2026-APR-12
BHM-B-GF-Dist-SW,Switch 1,C9500-16X,FOC2631YCUT,-,-
BHM-B-GF-Dist-SW,Switch 2,C9500-16X,FOC2631YD89,-,-
BHM-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YEAF,2023-JAN-26,2026-JAN-26
BHN-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YHWY,2022-AUG-26,2025-AUG-26
BHN-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YHMB,2022-AUG-26,2025-AUG-26
BHN-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YHZ2,2022-AUG-26,2025-AUG-26
BHN-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YCMH,2023-JAN-26,2026-JAN-26
BHN-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2626YEZ1,2022-AUG-26,2025-AUG-26
BHN-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2626YHN6,2022-AUG-26,2025-AUG-26
BHN-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2626YHMT,2022-AUG-26,2025-AUG-26
BHN-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YFEH,-,-
BHP-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJZS,2023-APR-12,2026-APR-12
BHP-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YJRD,2023-APR-12,2026-APR-12
BHP-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YP7B,2023-APR-12,2026-APR-12
BHP-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YD44,2023-JAN-26,2026-JAN-26
BHP-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJQJ,2023-APR-12,2026-APR-12
BHP-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YJYK,2023-APR-12,2026-APR-12
BHP-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YM1L,2023-APR-12,2026-APR-12
BHP-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YE93,2023-JAN-26,2026-JAN-26
BHP1-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJRL,2023-APR-12,2026-APR-12
BHP1-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YNC6,2023-APR-12,2026-APR-12
BHP1-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YKBF,2023-APR-12,2026-APR-12
BHP1-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YE9Y,2023-JAN-26,2026-JAN-26
BHP1-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJV7,2023-APR-12,2026-APR-12
BHP1-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YL20,2023-APR-12,2026-APR-12
BHP1-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YNXG,2023-APR-12,2026-APR-12
BHP1-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YD77,2023-JAN-26,2026-JAN-26
BHQ-A-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YQ42,2023-APR-12,2026-APR-12
BHQ-A-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YQ60,2023-APR-12,2026-APR-12
BHQ-A-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YL2D,2023-APR-12,2026-APR-12
BHQ-A-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YCW9,2023-JAN-26,2026-JAN-26
BHQ-B-3F-SW,Switch 1,C9300L-48T-4X,FOC2650YJS5,2023-APR-12,2026-APR-12
BHQ-B-6F-SW,Switch 1,C9300L-48T-4X,FOC2650YJNY,2023-APR-12,2026-APR-12
BHQ-B-9F-SW,Switch 1,C9300L-48T-4X,FOC2650YQ6G,2023-APR-12,2026-APR-12
BHQ-B-GF-SW,Switch 1,C9300L-24T-4X,FOC2651YCHV,2023-JAN-26,2026-JAN-26
BM-1F,Switch 1,C9300L-24P-4X,FOC2630Y247,2022-AUG-26,2025-AUG-26
BM-1F,Switch 2,C9300L-48T-4X,FOC2626YD44,2022-AUG-26,2025-AUG-26
BM-1F,Switch 3,C9300L-48T-4X,FOC2626YH9K,2022-AUG-26,2025-AUG-26
BM-1F,Switch 4,C9300L-48T-4X,FOC2626YCUV,2022-AUG-26,2025-AUG-26
BM-2F,Switch 1,C9300L-24P-4X,FOC2630Y4NN,2022-AUG-26,2025-AUG-26
BM-2F,Switch 2,C9300L-48T-4X,FOC2626YHMR,2022-AUG-26,2025-AUG-26
BM-2F,Switch 3,C9300L-48T-4X,FOC2626YHPW,2022-AUG-26,2025-AUG-26
BM-2F,Switch 4,C9300L-48T-4X,FOC2626YEDP,2022-AUG-26,2025-AUG-26
BM-3F,Switch 1,C9300L-24P-4X,FOC2630Y1JA,2022-AUG-26,2025-AUG-26
BM-3F,Switch 2,C9300L-48T-4X,FOC2626YCX0,2022-AUG-26,2025-AUG-26
BM-3F,Switch 3,C9300L-48T-4X,FOC2626YEQ4,2022-AUG-26,2025-AUG-26
BM-3F,Switch 4,C9300L-48T-4X,FOC2626YEKC,2022-AUG-26,2025-AUG-26
BM-GF,Switch 1,C9300L-24P-4X,FOC2629YM07,2022-AUG-26,2025-AUG-26
BM-GF,Switch 2,C9300L-48T-4X,FOC2626YHPY,2022-AUG-26,2025-AUG-26
BM-GF,Switch 3,C9300L-48T-4X,FOC2626YHXA,2022-AUG-26,2025-AUG-26
BT-1F,Switch 1,C9300L-48T-4X,FOC2626YHX5,2022-AUG-26,2025-AUG-26
BT-1F,Switch 2,C9300L-24P-4X,FOC2630Y43S,2022-AUG-26,2025-AUG-26
BT-1F,Switch 3,C9300L-48T-4X,FOC2626YJN4,2022-AUG-26,2025-AUG-26
BT-2F,Switch 1,C9300L-24P-4X,FOC2630Y19S,2022-AUG-26,2025-AUG-26
BT-2F,Switch 2,C9300L-48T-4X,FOC2626YJER,2022-AUG-26,2025-AUG-26
BT-2F,Switch 3,C9300L-48T-4X,FOC2626YECB,2022-AUG-26,2025-AUG-26
BT-3F,Switch 1,C9300L-24P-4X,FOC2630Y2JE,2022-AUG-26,2025-AUG-26
BT-3F,Switch 2,C9300L-48T-4X,FOC2626YHM5,2022-AUG-26,2025-AUG-26
BT-3F,Switch 3,C9300L-48T-4X,FOC2626YCYM,2022-AUG-26,2025-AUG-26
BT-Dist-SW,Switch 1,C9500-16X,FOC2643YJT9,-,-
BT-Dist-SW,Switch 2,C9500-16X,FOC2650YG3J,-,-
BT-GF,Switch 1,C9300L-24P-4X,FOC2630Y0WV,2022-AUG-26,2025-AUG-26
BT-GF,Switch 2,C9300L-48T-4X,FOC2626YEC7,2022-AUG-26,2025-AUG-26
BT-GF,Switch 3,C9300L-48T-4X,FOC2626YENJ,2022-AUG-26,2025-AUG-26
BT-GF,Switch 4,C9300L-48T-4X,FOC2626YHY8,2022-AUG-26,2025-AUG-26
BTBM-4F,Switch 1,C9300L-24P-4X,FOC2630Y4EY,2022-SEP-02,2025-SEP-02
BTBM-4F,Switch 2,C9300L-48T-4X,FOC2626YHY7,2022-SEP-02,2025-SEP-02
CAMPUS-SCHOOL-2F,Switch 1,C9300L-48T-4X,FOC2626YEMB,2022-AUG-26,2025-AUG-26
CAMPUS-SCHOOL-2F,Switch 2,C9300L-24T-4X,FOC2651YCYT,2022-AUG-26,2025-AUG-26
CAMPUS-SCHOOL-GF,Switch 1,C9300L-24T-4X,FOC2651YD18,2023-JAN-26,2026-JAN-26
CAMPUS-SCHOOL-GF,Switch 2,C9300L-48T-4X,FOC2650YQ4W,2023-JAN-26,2026-JAN-26
CC-Dist-SW,Switch 1,C9500-16X,FJC26441BH2,2023-MAY-02,2026-MAY-02
CC-Dist-SW,Switch 2,C9500-16X,FJC265115M4,2023-MAY-02,2026-MAY-02
CC-R1-00,Switch 1,C9300L-24P-4X,FOC2644Y6BL,-,-
CC-R1-02,Switch 1,C9300L-24P-4X,FOC2644Y6BS,2023-MAR-20,2026-MAR-20
CC-R2-00,Switch 1,C9300L-24P-4X,FOC2644Y6AX,2023-MAR-20,2026-MAR-20
CC-R2-02,Switch 1,C9300L-24P-4X,FOC2644Y6BW,-,-
